FIDE_Name,FIDE_Standard,FIDE_Rapid,FIDE_Blitz,Chess.com_blitz ,Chess.com_rapid,Chess.com_bullet
"Carlsen, Magnus",2839,2819,2883,3298,2942,3184
"Caruana, Fabiano",2784,2756,2782,3111,2808,3203
"Nakamura, Hikaru",2807,2738,2838,3393,2800,3343
"Aronian, Levon",2742,2742,2768,3122,2795,3057
"Firouzja, Alireza",2766,2767,2814,3315,2828,3357
"Grischuk, Alexander",2667,2676,2686,3003,2707,3096
"Karjakin, Sergey",2750,2703,2643,3023,2735,2969
"Nepomniachtchi, Ian",2742,2762,2802,3028,2829,3091
"Giri, Anish",2748,2687,2690,3152,2695,3084
"Harikrishna, Pentala",2709,2621,2632,3052,2627,3020
"Radjabov, Teimour",2692,2669,2663,3154,2668,3004
"Kramnik, Vladimir",2753,2700,2670,3062,2666,2529
"Dominguez Perez, Leinier",2738,2705,2634,2932,2648,2940
"Duda, Jan-Krzysztof",2725,2699,2770,3139,2785,3156
"Hou, Yifan",2633,2538,2500,2735,2572,2690
"Andreikin, Dmitry",2695,2665,2714,3207,2710,3116
"Maghsoodloo, Parham",2695,2660,2701,3212,2631,3230
"Jobava, Baadur",2605,2646,2650,3002,2596,2848
"Ipatov, Alexander",2644,2584,2544,2776,2561,2879
"Durarbayli, Vasif",2612,2560,2570,3013,2655,2892
"Esipenko, Andrey",2679,2626,2660,3113,2701,2910
"Lenderman, Aleksandr",2455,2604,2602,2913,2616,2752
"Naiditsch, Arkadij",2629,2580,2577,2761,2521,2574
"Kovalev, Vladislav",2557,2515,2563,2841,2623,2786
"Fedoseev, Vladimir",2739,2740,2746,3131,2851,2992
"Ehlvest, Jaan",2532,2473,2434,2669,2610,2509
"Deac, Bogdan-Daniel",2674,2631,2657,3064,2654,2952
"Amin, Bassem",2633,2593,2589,2902,2685,2893
"Sargissian, Gabriel",2626,2613,2561,2914,2543,2884
"Predojevic, Borki",2565,2587,2597,3019,2564,2885
"Illingworth, Max",2493,2498,2435,2905,2612,2906
"Oleksiyenko, Mykhaylo",2569,2503,2525,2730,2223,2747
"Mamedov, Rauf",2659,2610,2609,3205,2673,3176
"Oparin, Grigoriy",2660,2634,2651,3014,2659,3071
"Cheparinov, Ivan",2630,2614,2600,2760,2651,2733
"Nyzhnyk, Illya",2552,2643,2626,2874,2590,2988
"Ivanchuk, Vasyl",2641,2631,2647,2898,2529,2623
"McShane, Luke J",2615,2668,2594,2819,2575,2278
"Navara, David",2662,2621,2646,2933,2617,2831
"Negi, Parimarjan",2612,2613,2613,2532,1962,2753
"Rakhmanov, Aleksandr",2585,2550,2535,2864,2649,2787
"Donchenko, Alexander",2608,2555,2576,3006,2549,2896
"Guseinov, Gadir",2636,2609,2583,2897,2603,3012
"Abasov, Nijat",2578,2559,2555,2919,2325,2925
"Melkumyan, Hrant",2636,2686,2604,2939,2553,2844
"Lenic, Luka",2626,2640,2631,2735,2705,2651
"Kamsky, Gata",2611,2640,2660,2868,2629,2746
"Saric, Ivan",2661,2589,2593,2879,2650,3098
"Movsesian, Sergei",2600,2609,2568,2949,2623,2717
"Demchenko, Anton",2610,2512,2492,2989,2579,2842
"Bologan, Victor",2601,2476,2457,2791,2480,2463
"Meier, Georg",2596,2613,2544,3013,2595,2763
"Agdestein, Simen",2565,2470,2466,2670,2487,2175
"Kritz, Leonid",2568,0,0,2430,2234,2606
"Matsenko, Sergei",2528,2505,2481,2905,2500,2803
"Moradiabadi, Elshan",2496,2530,2509,2861,2709,2758
"Sasikiran, Krishnan",2531,2548,2525,2932,2503,2751
"Mista, Aleksander",2502,2514,2481,2628,2374,2585
"Gajewski, Grzegorz",2547,2492,2544,2841,2443,2596
"Kaidanov, Gregory",2505,0,2547,2617,2495,1746
"Chigaev, Maksim",2628,2610,2548,2972,2603,2883
"Adly, Ahmed",2589,2575,2600,2984,2720,2929
"Kuzubov, Yuriy",2605,2576,2512,2944,2616,2814
"Ivanisevic, Ivan",2536,2558,2534,2887,2372,2665
"Corrales Jimenez, Fidel",2535,2473,2540,2946,2506,2830
"Martirosyan, Haik M.",2628,2609,2680,3001,2630,3018
"Bok, Benjamin",2593,2585,2648,3094,2684,2893
"Mareco, Sandro",2572,2552,2531,2903,2535,2515
"Fridman, Daniel",2581,2542,2537,2868,2604,2665
"Bernadskiy, Vitaliy",2505,2532,2516,2886,2581,2702
"Huschenbeth, Niclas",2591,2562,2560,2595,2335,2381
Kannappan Priyadharshan,2553,2478,2464,2711,2471,2642
"Dubov, Daniil",2691,2691,2795,3153,2661,3040
"L'Ami, Erwin",2618,2640,2675,3005,2552,2872
"Dlugy, Maxim",2514,2504,2522,2681,2518,2832
"Lysyj, Igor",2582,2508,2515,2874,2586,2550
"Feller, Sebastien",2546,2622,2499,2482,2139,2639
"Grigoryan, Karen H.",2502,2610,2656,2882,2172,2883
"Martinez Alcantara, Jose Eduar",2622,2647,2688,2999,2673,3146
Nihal Sarin,2692,2688,2681,3204,2755,3079
"Gustafsson, Jan",2591,2641,2519,2744,2503,2787
"Christiansen, Johan-Sebastian",2642,2469,2580,2925,2551,2913
"Golding, Alex",2377,2205,2390,2654,2522,2395
"Gorovets, Andrey",2454,2535,2342,2792,2139,2090
"Neiksans, Arturs",2584,2514,2535,2900,2498,2934
"Gupta, Abhijeet",2535,2533,2528,2981,2459,2679
"Hansen, Eric",2609,2536,2543,2984,2537,2981
"Sadhwani, Raunak",2681,2611,2654,3146,2667,3006
"Piorun, Kacper",2575,2487,2528,2875,2349,2841
"Bartel, Mateusz",2581,2524,2497,2901,2514,2735
"Baklan, Vladimir",2553,2621,2610,2694,2667,2870
"Bortnyk, Olexandr",2601,2641,2776,3162,2687,3221
"Miroshnichenko, Evgenij",2588,2573,2539,2559,2482,2515
"Quesada Perez, Yasser",2559,2498,2487,2808,2404,2592
"Martinovic, Sasa",2551,2534,2457,2791,2000,2818
"Papp, Gabor",2498,2529,2567,2567,2342,2562
"Efimenko, Zahar",2565,2607,2547,2764,2579,2647
"Postny, Evgeny",2530,2509,2551,2800,2465,2353
"Naroditsky, Daniel",2619,2636,2722,3139,2614,3218
"Gledura, Benjamin",2648,2581,2553,2883,2636,2800
"Avrukh, Boris",2567,2552,2625,2240,2598,2483
"Kacheishvili, Giorgi",2582,2516,2582,2742,2449,2253
"Atalik, Suat",2438,2493,2442,2686,2551,2705
Harsha Bharathakoti,2527,2500,2505,2995,2427,3009
"Bojkov, Dejan",2479,0,0,2395,2257,2593
"Ramirez, Alejandro",2571,2579,2683,2725,2420,2829
"Antipov, Mikhail Al.",2593,2605,2605,3011,2637,2893
"Azarov, Sergei",2590,2559,2475,2740,2560,2677
Gopal G.N.,2549,2471,2511,2613,2593,2281
"Filippov, Anton",2592,2494,2514,2843,1766,2398
"Leitao, Rafael",2596,2620,2603,2823,2303,2656
"Chadaev, Nikolai",2591,2629,2733,2867,2246,2625
"Santos Ruiz, Miguel",2596,2486,2501,2814,2490,2880
"Dziuba, Marcin",2495,2456,2462,2635,2477,2633
"Bacallao Alonso, Yusnel",2564,2495,2561,2773,2545,2739
"Iordachescu, Viorel",2558,2493,2471,3142,2435,3121
"Antonio, Rogelio Jr",2354,2325,2416,2636,2550,2506
"Moranda, Wojciech",2543,2571,2603,3000,2192,2856
"Belous, Vladimir",2501,2623,2534,2848,2395,2811
"Idani, Pouya",2593,2555,2570,2938,2564,2802
"Ernst, Sipke",2518,2514,2436,2700,2187,2639
"Koneru, Humpy",2536,2446,2418,2689,2342,2598
"Akshayraj, Kore",2482,2484,2399,2511,2215,2560
"Har-Zvi, Ronen",2513,0,2523,2691,2392,2901
"Meshkovs, Nikita",2539,2551,2526,2912,2532,2971
"Goryachkina, Aleksandra",2533,2517,2441,2720,2552,2650
"Pelletier, Yannick",2514,2643,0,2560,2328,2536
